プロローグ,神父ジムゾン,村人,昼食をとりにきました。私は先程まで一人教会で神に祈っていたのですが、目を開けると、そこにお婆さんが立っているではありませんか。私はその時気づいたのです、【彼女は神様だったのだと】
プロローグ,神父ジムゾン,村人,鳩でも問題なさそうですね。それではまた夜に
プロローグ,司書クララ,村人,トーマスさんまとめありがとうございます。仮21:15/本21:45が多いようですので、私もそれにならおうかとおもいます。マトン美味しいですよね〜ラムより好きです。ある程度ログがたまってきたので鳩さんの追試をしてみましたが、全部見るには荷が重いようです。最新分しか持ってきてくれないみたいなので、緊急避難用…というところでしょうか。ではまた夜に。
プロローグ,村娘パメラ,村人,トマさん、まとめありがとう。オットー、フレンチトーストおいしくいただいたよ。全員にアンカ発言しちゃいそうになって気持ち悪いので自重。夜明けまで時間あるのでネタ議題でも。ネタなので回答は任意です。□5.好きなゲームを教えて！□6.最近読んで面白いと思った本は？□5.幻水シリーズ、ロンパ、大神、P4。□6.「舟を編む」おやつどうぞ　つ[紅茶][シュークリーム]
プロローグ,行商人アルビン,村人,パメラさん、議題ありがとう！■5.好きなゲームを教えて！■6.最近読んで面白いと思った本は？□5.ゾンビがわらわら〜バイオハザードやFPSが好きだよー！□6.コミックだけど、蒼天航路が面白かったなぁ…古いか！！
プロローグ,少年ペーター,霊能者,トーマス兄ちゃんまとめありがとう！パメラ姉ちゃんもおやつもらうねー！もぐもぐもぐ議題も回答するね！□5.お母さんに叱られるからあんまりゲームはやらないんだけど…SIREN  FF9  STEINS;GATEが好きかな！□6.何年か前の作品だけど伊坂幸太郎さんの『死神の精度』が面白かったよ！おやつも食べたし、また少し外で遊んでくるね！夕ご飯には帰ってきまーす！
プロローグ,少年ペーター,霊能者,あ！ごめんなさい！【モーリッツじいちゃんの古文書確認】【ニコラスさんの専門用語確認】だよ！
プロローグ,青年ヨアヒム,人狼,【古文書確認】【用語確認】を言い忘れてましたね  さて、少し休憩したらもう少し仕事頑張るか・・・
プロローグ,ならず者ディーター,村人,最近少し寒いなみんな体調には気をつけてくれよ？俺の健康の秘訣が知りたいのか？そうだな・・・真っ裸で料理をすることかな・・・あ、揚げる時は注意が必要だぞ！？勘違いはしないでくれよ？食べる時は靴下は履くぜ！>>72  トーマス纏めありがとな、仮21:15/本21:45が1番多いみたいだな。俺もそれに従うぜ
プロローグ,シスターフリーデル,人狼,>>72トーマスさんまとめありがとうございます。私も仮21:15/本21:45で異存ありませんわ。>>76パメラさんせっかくなので回答。□5.FF4,5、ロマサガ3、ファイアーエムブレムシリーズ□6.シスターらしく聖書ですわ
プロローグ,旅人ニコラス,狂人,ただいまー食材狩ってきたよ！っ[生肉][生肉][生肉]誰か上手に焼いてほしいなそれでは一足お先に乾杯！っ日ぷはー(´∀｀)そして樵>>72まとめありがとう！これを参考に時間はまとめ役になった人に決めて欲しいなトマさんが白確になればいいのに・・(ﾁﾗｯﾁﾗｯ・・うん、トマさん>>29戦いたいんだよね。まとめ役は戦えないもんね。ごめんね。
プロローグ,行商人アルビン,村人,>>72 トーマスさんありがとうー見やすくて良いですね！>>82 ニコラスさんじゃあ、僕からは( ^ ^ )/□肉焼きセット
プロローグ,神父ジムゾン,村人,ゆるりと戻りますよ。【古文書、用語確認いたしました】【時間も了解です】
